player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
29063790,Manoj Kumar,7356382,SPVGG Dragons,6,6,3,72,1,9.17,24.00,0,36.67,110,Right-arm fast,12.0,37
32031834,Selvaraj Kanniyan,430654,Royal Strikers FFM,4,4,3,42,2,9.29,14.00,0,21.67,65,Right-arm medium,7.0,17
31700116,Deepak Savant,7415121,MSC Achievers 11,3,3,3,36,1,9.33,12.00,0,18.67,56,Right-arm medium,6.0,16
22371480,Siva Tumpala,4674227,BlueWings,3,3,3,24,2,9.50,8.00,0,12.67,38,Right-arm fast,4.0,13
3279200,Nitin Tyagi,806595,Juggernaut Cricket Club,4,4,3,42,1,9.57,14.00,0,22.33,67,Right-arm fast,7.0,17
20843255,Harsh Patel,4220557,TSGN Royal Warriors,3,3,3,30,1,9.60,10.00,0,16,48,Right-arm medium,5.0,15
5630569,Dhinesh Kumar Periyasamy,430654,Royal Strikers FFM,4,4,3,48,1,9.62,16.00,1,25.67,77,Right-arm medium,8.0,18
31630634,Nepoleon Palanivelu,9435425,SG Malchen,3,3,3,28,3,9.64,9.33,0,15,45,Right-arm medium,4.4,17
38390529,Peeyush Paul,806595,Juggernaut Cricket Club,1,1,3,12,3,10.00,4.00,0,6.67,20,Right-arm fast,2.0,5
31510876,Keshav Rao,7356382,SPVGG Dragons,4,4,3,31,2,10.06,10.33,0,17.33,52,Right-arm medium,5.1,12
20710655,Shrenik Jain,4220557,TSGN Royal Warriors,3,3,3,36,2,10.17,12.00,0,20.33,61,Right-arm fast,6.0,17
5561804,Hossen Ali,8007462,SV Tigers am Main,3,3,3,30,2,10.20,10.00,0,17,51,Right-arm medium,5.0,10
30968172,Hiru Dobs,4814191,TBG Neulussheim,5,4,3,40,2,10.65,13.33,0,23.67,71,Right-arm medium,6.4,20
3283002,Teekay,9434097,Darebulls,2,2,3,24,2,10.75,8.00,0,14.33,43,Right-arm fast,4.0,7
32089504,Sahil Verma,2623314,TSV Darmstadt United,3,3,3,30,2,11.20,10.00,0,18.67,56,Right-arm medium,5.0,15
12790718,Mit Donda,1517508,Frankfurt Spartans Cricket Club,4,4,3,30,1,11.40,10.00,0,19,57,Right-arm fast,5.0,10
12770686,Talha Zameer,2204871,MSC Black Bears,2,2,3,24,3,12.25,8.00,0,16.33,49,Right-arm fast,4.0,6
31653882,Karthik P,7424272,Freizeit CC,3,2,3,24,2,12.25,8.00,0,16.33,49,Right-arm medium,4.0,12
5537154,Anik Mishu,8007462,SV Tigers am Main,3,3,3,30,2,12.40,10.00,0,20.67,62,Right-arm fast,5.0,9
31732595,Saksham Gupta,2204871,MSC Black Bears,3,3,3,24,2,13.00,8.00,0,17.33,52,Right-arm fast,4.0,8
31704641,Mohit Maverick,9390582,TSGN Royal Lions,3,3,3,30,2,13.40,10.00,0,22.33,67,Right-arm fast,5.0,14
38796112,Ujjwal Sachdeva,9491502,Mighty Titans,2,2,3,18,2,17.67,6.00,0,17.67,53,Right-arm medium,3.0,7
28352302,Praveen Kumar Damera,3642022,FCC Friends XI,5,1,2,6,2,1.00,3.00,0,0.5,1,Right-arm medium,1.0,5
28640126,Adi,7356382,SPVGG Dragons,5,2,2,18,2,3.33,9.00,0,5,10,Right-arm fast,3.0,10
27869378,Prasoon Verma,1517508,Frankfurt Spartans Cricket Club,4,2,2,13,2,3.69,6.50,0,4,8,Right-arm fast,2.1,11
