player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
33447681,Jomon,7989971,Mainz Cricket Club,5,5,5,54,2,6.11,10.80,0,11,55,Right-arm fast,9.0,24
41185039,Zeeshan Adeel Ahmad,806595,Juggernaut Cricket Club,3,3,5,20,4,6.60,4.00,0,4.4,22,Left-arm medium,3.2,12
11059267,Abhilash,7440693,TSV Darmstadt XI,5,3,5,24,4,6.75,4.80,0,5.4,27,Right-arm fast,4.0,13
41958037,Akthar Mahammad Zadran,10472983,FCC Friends XI,5,5,5,54,2,6.89,10.80,0,12.4,62,Right-arm fast,9.0,24
31719426,Matih Ullah,7444218,Mannschaft Ginnheimer,3,3,5,36,2,7.00,7.20,0,8.4,42,Right-arm medium,6.0,13
16115282,Shamil,7251731,KK Challengers,4,4,5,48,2,7.12,9.60,0,11.4,57,Right-arm fast,8.0,21
31638536,Kurra,7392287,DCC Rising Stars,5,4,5,48,2,7.25,9.60,0,11.6,58,Right-arm medium,8.0,20
14141187,Sai,10570905,TBG Neulusheim,5,5,5,60,1,7.40,12.00,0,14.8,74,Right-arm fast,10.0,26
38213498,Sahil Vashishtha,9390582,TSGN Royal Lions,5,5,5,60,2,7.50,12.00,0,15,75,Right-arm Off Break,10.0,29
31921448,Raghavan Sivaraj,3793721,Trebur Cricket Club,6,6,5,60,2,7.80,12.00,0,15.6,78,Right-arm medium,10.0,27
574869,Anubhav,3793721,Trebur Cricket Club,6,5,5,53,2,8.04,10.60,0,14.2,71,Right-arm Off Break,8.5,16
28007361,Yogesh Dhariyal,7356382,SPVGG Dragons,5,5,5,60,2,8.40,12.00,0,16.8,84,Right-arm fast,10.0,27
31706639,Hemant Sai P,7436670,Giessener 11,6,6,5,60,3,8.40,12.00,0,16.8,84,Left-arm medium,10.0,27
31696185,Sushanth Gandepalli,2623314,TSV Darmstadt United,6,5,5,54,2,8.56,10.80,0,15.4,77,Right-arm medium,9.0,19
5502847,Arpit Samani,9390582,TSGN Royal Lions,8,5,5,42,4,10.14,8.40,1,14.2,71,Right-arm fast,7.0,22
5527584,Ogadepa,2623314,TSV Darmstadt United,6,6,5,66,2,10.73,13.20,0,23.6,118,Right-arm Leg Break,11.0,22
12768994,Ravi Maheshwari,2204871,MSC Black Bears,3,3,5,30,3,10.80,6.00,0,10.8,54,Right-arm medium,5.0,15
32540525,Praneeth Vaddadi,10736341,Kassel Cricket Club,3,3,5,36,4,10.83,7.20,0,13,65,Right-arm Off Break,6.0,16
23394164,Febin Johny,7989971,Mainz Cricket Club,3,3,4,34,2,2.82,8.50,0,4,16,Right-arm medium,5.4,21
32256086,Raheel Ahmad,7437045,Hawk Hunters,2,2,4,24,2,4.00,6.00,1,4,16,Right-arm medium,4.0,13
23376226,Ridol Michael,7989971,Mainz Cricket Club,3,3,4,36,2,4.17,9.00,0,6.25,25,Right-arm fast,6.0,20
32060897,Rajesh Bura,10472983,FCC Friends XI,3,3,4,30,2,4.20,7.50,0,5.25,21,Right-arm medium,5.0,14
7967156,Ajith,7251731,KK Challengers,2,2,4,18,2,4.67,4.50,0,3.5,14,Right-arm fast,3.0,10
36478281,Amal P S,1517508,Frankfurt Spartans Cricket Club,7,3,4,30,2,5.20,7.50,0,6.5,26,Right-arm fast,5.0,16
42083401,Atishay Jain,4220557,TSGN Royal Warriors,3,3,4,30,2,5.20,7.50,0,6.5,26,Right-arm fast,5.0,17
22646840,Siva Seelam,7392287,DCC Rising Stars,5,3,4,36,2,5.33,9.00,0,8,32,Right-arm fast,6.0,15
38218709,Chirag Kankariya,9390582,TSGN Royal Lions,3,3,4,30,2,5.60,7.50,0,7,28,Right-arm fast,5.0,15
37593419,Shivam Salunkhe,2623314,TSV Darmstadt United,6,2,4,18,3,5.67,4.50,0,4.25,17,Right-arm medium,3.0,12
5630569,Dhinesh Kumar Periyasamy,430654,Royal Strikers FFM,3,3,4,34,2,6.88,8.50,0,9.75,39,Right-arm medium,5.4,14
31708287,Sai Krishna Reddy Guntaka,7440693,TSV Darmstadt XI,2,2,4,24,2,7.25,6.00,0,7.25,29,Right-arm fast,4.0,9
38463324,Amruth,9461015,Ingelheim Cricket Club,3,3,4,36,2,7.67,9.00,0,11.5,46,Right-arm fast,6.0,20
4500727,Charanpreet Singh,7251731,KK Challengers,5,4,4,42,2,7.71,10.50,0,13.5,54,Right-arm medium,7.0,20
38454368,Rajat Jena,9461015,Ingelheim Cricket Club,3,3,4,30,3,8.20,7.50,0,10.25,41,Right-arm medium,5.0,13
41554064,Adel Zadran,10472983,FCC Friends XI,5,5,4,54,3,8.22,13.50,0,18.5,74,Right-arm fast,9.0,21
31718657,Nitish Kashyap,7444345,RCB Cricket Club Ruesselsheim,5,5,4,48,2,8.25,12.00,0,16.5,66,Right-arm fast,8.0,18
33436899,Peter Paul,7989971,Mainz Cricket Club,5,4,4,42,2,8.43,10.50,0,14.75,59,Right-arm medium,7.0,19
5457729,Moin,7444218,Mannschaft Ginnheimer,3,3,4,36,2,8.50,9.00,0,12.75,51,Right-arm fast,6.0,14
31639860,Kaushik Sekar,7392287,DCC Rising Stars,5,5,4,48,2,8.50,12.00,0,17,68,Right-arm fast,8.0,20
2195382,Ankit Khurana,7437045,Hawk Hunters,3,3,4,30,4,8.80,7.50,0,11,44,Right-arm medium,5.0,14
31838682,Rashid Ahamd,7444345,RCB Cricket Club Ruesselsheim,5,4,4,36,3,8.83,9.00,0,13.25,53,Right-arm medium,6.0,16
31706324,Waqas Qasim,7436670,Giessener 11,6,5,4,48,2,8.88,12.00,0,17.75,71,Right-arm medium,8.0,23
31719408,Ali Naveed,7444218,Mannschaft Ginnheimer,3,3,4,36,2,9.00,9.00,0,13.5,54,Right-arm medium,6.0,13
32031834,Selvaraj Kanniyan,430654,Royal Strikers FFM,3,3,4,30,2,9.20,7.50,0,11.5,46,Right-arm medium,5.0,13
21909738,Anoop P B,7415125,Sulzbach XI,3,3,4,24,4,10.25,6.00,0,10.25,41,Right-arm medium,4.0,13
39646144,Vishal Jadav,6269379,TGS Rising Challengers,3,3,4,36,2,10.83,9.00,0,16.25,65,Right-arm fast,6.0,13
13764702,Ajay Kumar Holla,10570905,TBG Neulusheim,5,5,4,48,3,11.62,12.00,0,23.25,93,Right-arm medium,8.0,16
22371420,Ravi Gangula Dbag,4674227,BlueWings,3,3,4,36,2,11.67,9.00,0,17.5,70,Right-arm fast,6.0,13
42452339,Khalid,7436670,Giessener 11,3,3,3,36,1,2.50,12.00,0,5,15,Right-arm fast,6.0,22
16398347,Pramod Bhat,7449958,Darebulls,2,1,3,9,3,3.33,3.00,0,1.67,5,Right-arm fast,1.3,7
12822789,Anish Sachdeva,3793721,Trebur Cricket Club,6,2,3,12,2,3.50,4.00,0,2.33,7,Right-arm medium,2.0,7
38170068,Sahil Zabiullah,7436670,Giessener 11,2,1,3,12,3,3.50,4.00,0,2.33,7,Right-arm fast,2.0,7
10359969,Amanullah Khan,7449958,Darebulls,3,3,3,36,3,4.33,12.00,0,8.67,26,Right-arm fast,6.0,21
4253046,Gaggi Kalotha,2114868,SVS Frankfurt Eagles,2,2,3,24,2,4.50,8.00,0,6,18,Right-arm medium,4.0,18
2401173,Mithun Puthenkottupalliyil,430802,Tgs Indian Challengers,3,3,3,30,2,4.80,10.00,0,8,24,Right-arm medium,5.0,17
13294628,Sreejith Sreedharan Nair,1517508,Frankfurt Spartans Cricket Club,4,4,3,42,2,4.86,14.00,0,11.33,34,Right-arm medium,7.0,18
20713334,Bhavik Pandya,4220557,TSGN Royal Warriors,2,1,3,12,3,5.00,4.00,0,3.33,10,Right-arm medium,2.0,6
33491116,Hayatullah Habibzai,7436670,Giessener 11,3,3,3,30,1,5.20,10.00,0,8.67,26,Right-arm fast,5.0,17
28007346,Allen Cutinha,7356382,SPVGG Dragons,2,2,3,24,2,5.25,8.00,0,7,21,Right-arm medium,4.0,12
28329959,Ali Raza,8001451,Dietzenbacher Cricket Star,6,6,3,67,2,5.73,22.33,0,21.33,64,Right-arm fast,11.1,32
31744692,Naufal Hameed,4220557,TSGN Royal Warriors,4,3,3,24,2,5.75,8.00,0,7.67,23,Right-arm medium,4.0,14
31827042,Ashish Dangi,6290732,TSV Frankfurt Garuda,2,2,3,24,3,5.75,8.00,0,7.67,23,Right-arm medium,4.0,13
31510876,Keshav Rao,7356382,SPVGG Dragons,5,3,3,30,1,6.00,10.00,0,10,30,Right-arm medium,5.0,18
31710212,Karthik Kasula,7437045,Hawk Hunters,6,6,3,66,2,6.18,22.00,1,22.67,68,Right-arm fast,11.0,33
31708543,Hamid Shah,806595,Juggernaut Cricket Club,3,3,3,30,1,6.40,10.00,0,10.67,32,Right-arm medium,5.0,16
42291242,Chinmay Dsouza,10736341,Kassel Cricket Club,3,1,3,12,3,6.50,4.00,0,4.33,13,Right-arm fast,2.0,8
22213510,Vishvajeet Tandale,7415125,Sulzbach XI,3,3,3,27,1,6.67,9.00,0,10,30,Right-arm medium,4.3,14
19059369,Noman Raja,7437045,Hawk Hunters,6,4,3,42,1,7.43,14.00,0,17.33,52,Right-arm medium,7.0,19
20711188,Hemant Patil,4220557,TSGN Royal Warriors,5,2,3,11,3,7.64,3.67,0,4.67,14,Right-arm medium,1.5,7
3085906,Gokul,7444345,RCB Cricket Club Ruesselsheim,3,3,3,36,2,7.83,12.00,1,15.67,47,Right-arm medium,6.0,20
