player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
13816117,Rohith Kb,1517508,Frankfurt Spartans Cricket Club,6,3,9,1,0,0,0,12,13
19059369,Noman Raja,7437045,Hawk Hunters,6,7,3,2,0,0,0,10,12
5640040,Chandu Pillalamarri,2623314,TSV Darmstadt United,4,0,10,1,0,0,0,10,11
12791022,Chandrashekar Umapathi,7356382,SPVGG Dragons,3,0,10,0,2,0,0,10,10
29060483,Arslan Ahmad Bhatti,6591085,TSGN Mavericks,2,0,8,1,0,0,0,8,9
19041512,Chakradhar Akkaldevi 15,3793721,Trebur Cricket Club,4,0,8,1,1,0,0,8,9
31649154,Smruti Ranjan Panda,7437045,Hawk Hunters,6,3,6,0,1,0,0,9,9
3263804,Vinay Narayana,10472983,FCC Friends XI,4,0,7,0,0,1,0,7,8
38213103,Indrajeet Rajput,9390582,TSGN Royal Lions,3,3,4,0,0,0,0,7,7
3283065,Praveen Nagol,4220352,TSGN Titans,3,1,5,0,0,0,0,6,6
3283063,Humad Khan,6591085,TSGN Mavericks,3,2,1,1,0,0,1,4,5
5502863,Bharat Bandaru,4220352,TSGN Titans,3,3,0,1,0,0,1,4,5
31655388,Charan Ronanki,6290732,TSV Frankfurt Garuda,3,4,0,1,0,0,0,4,5
5655236,Syed Khalander Pasha,4220557,TSGN Royal Warriors,4,1,3,1,1,0,0,4,5
31773042,Prajwal Hegde,7440693,TSV Darmstadt XI,5,0,4,1,1,0,0,4,5
27869378,Prasoon Verma,1517508,Frankfurt Spartans Cricket Club,6,4,0,1,0,0,0,4,5
39934431,Ashwin Krishnamurthy,6269379,TGS Rising Challengers,2,0,4,0,0,0,0,4,4
1168467,Sk,7440693,TSV Darmstadt XI,3,1,3,0,0,0,0,4,4
3279430,Darshan Parameswara,430802,Tgs Indian Challengers,3,0,4,0,0,0,0,4,4
20719400,Aamod Kulkarni,4220557,TSGN Royal Warriors,3,0,4,0,0,0,0,4,4
31826985,Vamshidar Mannammangan,6290732,TSV Frankfurt Garuda,3,0,4,0,1,0,0,4,4
31982831,Anoop Kiran,7356382,SPVGG Dragons,3,3,0,1,0,0,0,3,4
9734068,D V Mohan Krishna,3793721,Trebur Cricket Club,4,3,0,1,0,0,0,3,4
20719379,Mihir Gohel,4220557,TSGN Royal Warriors,5,3,0,0,0,0,1,4,4
