player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
20719379,Mihir Gohel,4220557,TSGN Royal Warriors,3,2,0,0,0,0,1,3,3
25317603,Raghu Vinod,7440693,TSV Darmstadt XI,3,2,0,1,0,0,0,2,3
29718658,Shiva,4220352,TSGN Titans,3,3,0,0,0,0,0,3,3
29843187,Tushar Lalingkar,2204871,MSC Black Bears,3,2,0,1,1,0,0,2,3
31720467,Amin Mohammad Bodrul,2948485,Frankfurt Strikers,3,2,0,1,0,0,0,2,3
31874511,Sumit Revankar,430802,Tgs Indian Challengers,3,3,0,0,0,0,0,3,3
31956144,Jijo Spartans,1517508,Frankfurt Spartans Cricket Club,3,2,0,1,0,0,0,2,3
37005230,Mahendra Silveri,10403916,RCB XI,3,3,0,0,0,0,0,3,3
41554087,Noor Ahmed Rayini,10472983,FCC Friends XI,3,3,0,0,0,0,0,3,3
578529,Vinod Iyer,6269379,TGS Rising Challengers,4,3,0,0,0,0,0,3,3
1111468,Shreyas Suryanarayana,10574333,Frankfurt wolves,4,3,0,0,0,0,0,3,3
3283064,Krishna A,7392287,DCC Rising Stars,4,3,0,0,0,0,0,3,3
5475264,Srikanth Thorlikonda,7440693,TSV Darmstadt XI,4,3,0,0,0,0,0,3,3
19203985,Jomon Suresh Kumar Elizabeth,6941365,Karlsruhe Knights,4,3,0,0,0,0,0,3,3
20727167,Deepak Kumar Purseth,6591085,TSGN Mavericks,4,2,0,0,0,0,1,3,3
22157027,Samuel Ajay Dasgupta,430654,Royal Strikers FFM,4,2,0,1,0,0,0,2,3
22213510,Vishvajeet Tandale,7415125,Sulzbach XI,4,3,0,0,0,0,0,3,3
22517414,Bharat Mimani,4757949,Friedrichsdorf Cricket Club,4,3,0,0,0,0,0,3,3
31121115,Jay Vala,7254701,Old Monks XI,4,0,2,0,0,1,0,2,3
31129324,Abhishek Sachan,7254701,Old Monks XI,4,2,0,1,0,0,0,2,3
31700209,Sumit Das,7437938,FalconsXI,4,3,0,0,0,0,0,3,3
31718316,Muhammad Khubaib,7444218,Mannschaft Ginnheimer,4,2,0,0,0,0,1,3,3
31718657,Nitish Kashyap,4757807,SGM Guardians,4,3,0,0,1,0,0,3,3
31721789,Srinivas Prakash,10574333,Frankfurt wolves,4,3,0,0,0,0,0,3,3
32032807,Shamanth Ravindra,10403916,RCB XI,4,2,0,0,0,0,1,3,3
32536784,Aakash Khaira,2623314,TSV Darmstadt United,4,2,0,0,0,0,1,3,3
38297200,Vaseekaran Gk,10614294,Aschaffenburg United,4,0,3,0,0,0,0,3,3
38406659,Randeep Singh,7392287,DCC Rising Stars,4,3,0,0,0,0,0,3,3
38989616,Prasanna Kumar Reddy N,2623314,TSV Darmstadt United,4,3,0,0,0,0,0,3,3
41680914,Margin Jivani,7251731,KK Challengers,4,3,0,0,0,0,0,3,3
455555,Ashik Rahuman,7444065,VFL_Kesselehim,5,3,0,0,0,0,0,3,3
3279377,Akhil Bhadran,6941365,Karlsruhe Knights,5,2,0,1,0,0,0,2,3
5478464,Tom Thomas,1517508,Frankfurt Spartans Cricket Club,5,3,0,0,1,0,0,3,3
15217646,Umashankar,4674227,BlueWings,5,2,0,1,0,0,0,2,3
19037092,Satish Kumar,2204871,MSC Black Bears,5,3,0,0,0,0,0,3,3
