player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
20712849,Shubham Bhatt,4220557,TSGN Royal Warriors,6,6,11,102,4,6.35,9.27,0,9.82,108,Right-arm medium,17.0,52
31627777,Nipun K,7392287,DCC Rising Stars,4,4,11,72,4,7.42,6.55,1,8.09,89,Right-arm fast,12.0,40
20710655,Shrenik Jain,4220557,TSGN Royal Warriors,4,4,10,71,4,9.21,7.10,0,10.9,109,Right-arm fast,11.5,33
5502848,Jitendra Singh,9390582,TSGN Royal Lions,7,7,9,106,3,5.26,11.78,1,10.33,93,Right-arm medium,17.4,63
38218709,Chirag Kankariya,9390582,TSGN Royal Lions,4,4,9,66,3,5.91,7.33,1,7.22,65,Right-arm fast,11.0,30
38212866,Mayank Panchal,9390582,TSGN Royal Lions,6,6,9,78,3,6.46,8.67,1,9.33,84,Left-arm medium,13.0,49
3260937,Arpit Jain,9390582,TSGN Royal Lions,7,7,9,56,2,7.61,6.22,0,7.89,71,Right-arm medium,9.2,27
29718658,Shivakumar Hm,4220352,TSGN Titans,4,4,8,72,4,8.25,9.00,1,12.38,99,Right-arm fast,12.0,37
20843255,Harsh Patel,4220557,TSGN Royal Warriors,7,7,8,94,2,8.87,11.75,0,17.38,139,Right-arm medium,15.4,43
11066263,H Pavan Kumar,7356382,SPVGG Dragons,6,6,8,90,3,9.00,11.25,0,16.88,135,Right-arm medium,15.0,37
3422841,Raj,4220352,TSGN Titans,6,6,8,96,3,9.69,12.00,0,19.38,155,Right-arm Leg Break,16.0,42
3421291,Srihari Nandamuri,4220352,TSGN Titans,6,5,7,78,2,6.62,11.14,0,12.29,86,Right-arm medium,13.0,41
31638527,Manoj Shukla,7392287,DCC Rising Stars,5,5,7,90,2,7.40,12.86,0,15.86,111,Right-arm medium,15.0,45
31627748,Aakash Parmar,4220557,TSGN Royal Warriors,6,6,6,84,2,7.86,14.00,0,18.33,110,Right-arm fast,14.0,39
38484035,Devang Odedra,9390582,TSGN Royal Lions,5,3,6,35,4,7.89,5.83,0,7.67,46,Right-arm medium,5.5,17
31510876,Keshav Rao,7356382,SPVGG Dragons,6,6,6,90,2,8.07,15.00,0,20.17,121,Right-arm medium,15.0,40
20719379,Mihir Gohel,4220557,TSGN Royal Warriors,6,5,6,46,3,11.61,7.67,0,14.83,89,Left-arm medium,7.4,19
38367746,Santosh Upadhye,7356382,SPVGG Dragons,2,2,5,36,3,4.50,7.20,0,5.4,27,Right-arm fast,6.0,22
29063790,Manoj Kumar,7356382,SPVGG Dragons,4,4,5,66,2,6.91,13.20,0,15.2,76,Right-arm fast,11.0,34
20727167,Deepak Kumar Purseth,6591085,TSGN Mavericks,5,5,5,74,3,8.76,14.80,0,21.6,108,Right-arm medium,12.2,39
5502863,Bharat Bandaru,4220352,TSGN Titans,6,6,5,78,2,11.77,15.60,0,30.6,153,Right-arm medium,13.0,30
38213498,Sahil Vashishtha,9390582,TSGN Royal Lions,6,6,4,66,2,5.64,16.50,2,15.5,62,Right-arm Off Break,11.0,40
29263251,Dhawal Patel,4220557,TSGN Royal Warriors,5,4,4,54,2,7.22,13.50,0,16.25,65,Right-arm Leg Break,9.0,23
3277735,Ankit Joshi,4220352,TSGN Titans,5,5,4,69,2,8.96,17.25,1,25.75,103,Left-arm medium,11.3,31
31704641,Mohit Maverick,9390582,TSGN Royal Lions,4,4,4,54,2,10.00,13.50,0,22.5,90,Right-arm fast,9.0,22
29061009,Susheel Amingad,7356382,SPVGG Dragons,6,6,4,84,2,10.29,21.00,0,36,144,Right-arm fast,14.0,33
31639860,Kaushik Sekar,7392287,DCC Rising Stars,5,5,4,84,2,10.50,21.00,0,36.75,147,Right-arm fast,14.0,40
